id,nivel,nombre,turno,domicilio,colonia,alcaldia,sostenimiento,ubicacion,lat,lon,coordenadas
2781,Preescolar,ESHDEI ESCUELA HUMANISTA DE EDUCACIÓN INTEGRAL,MATUTINO,EMILIANO ZAPATA NO. 63,SAN JERONIMO ACULCO,LA MAGDALENA CONTRERAS,Particular,"EMILIANO ZAPATA NO. 63, SAN JERONIMO ACULCO, LA MAGDALENA CONTRERAS",19.3208696,-99.2245995,"19.3208696,-99.2245995"
2782,Preescolar,COLEGIO LIBERTAD,MATUTINO,PALMAS NO. 13,SANTA MARIA AZTAHUACAN,IZTAPALAPA,Particular,"PALMAS NO. 13, SANTA MARIA AZTAHUACAN, IZTAPALAPA",19.3491626,-99.0226842,"19.3491626,-99.0226842"
2783,Preescolar,ANNA SANDER S,MATUTINO,CALLE 57 NO. 107,UNIDAD SANTA CRUZ MEYEHUALCO,IZTAPALAPA,Particular,"CALLE 57 NO. 107, UNIDAD SANTA CRUZ MEYEHUALCO, IZTAPALAPA",19.3482194,-99.0449718,"19.3482194,-99.0449718"
2784,Preescolar,GOTITAS DE AMOR,MATUTINO,MIGUEL ALEMAN MZ. 63 LT. 15,PRESIDENTES DE MEXICO,IZTAPALAPA,Particular,"MIGUEL ALEMAN MZ. 63 LT. 15, PRESIDENTES DE MEXICO, IZTAPALAPA",19.3302614,-99.059713,"19.3302614,-99.059713"
2785,Preescolar,TIYOLI,MATUTINO,CARRETERA MEXICO TOLUCA NO. 5668,LOCAXCO,CUAJIMALPA DE MORELOS,Particular,"CARRETERA MEXICO TOLUCA NO. 5668, LOCAXCO, CUAJIMALPA DE MORELOS",19.3557551,-99.2916101,"19.3557551,-99.2916101"
2786,Preescolar,ESCUELA LEONESA,MATUTINO,MOCTEZUMA NO. 25,SANTA LUCIA,ALVARO OBREGON,Particular,"MOCTEZUMA NO. 25, SANTA LUCIA, ALVARO OBREGON",19.3601479,-99.2501943,"19.3601479,-99.2501943"
2787,Preescolar,ROSITA,MATUTINO,CALLE 15 NO. 16,SANTA CRUZ MEYEHUALCO,IZTAPALAPA,Particular,"CALLE 15 NO. 16, SANTA CRUZ MEYEHUALCO, IZTAPALAPA",19.3443341,-99.0355675,"19.3443341,-99.0355675"
2788,Preescolar,INFANCIA FELIZ,MATUTINO,AV. HIDALGO NO. 651,SAN MIGUEL AMPLIACION,IZTAPALAPA,Particular,"AV. HIDALGO NO. 651, SAN MIGUEL AMPLIACION, IZTAPALAPA",19.3523693,-99.0704214,"19.3523693,-99.0704214"
2789,Preescolar,ANNA FREUD,MATUTINO,IGNACIO L. VALLARTA NO. 184,JACARANDAS,IZTAPALAPA,Particular,"IGNACIO L. VALLARTA NO. 184, JACARANDAS, IZTAPALAPA",19.3500722,-99.0513455,"19.3500722,-99.0513455"
2790,Preescolar,JARDIN DE NIÑOS TOWI,MATUTINO,PRIVADA AJUSCO (ZACAPULAS) NO.18,SANTA URSULA XITLA,TLALPAN,Particular,"PRIVADA AJUSCO (ZACAPULAS) NO.18, SANTA URSULA XITLA, TLALPAN",,,
2791,Preescolar,MONTE ALBAN,MATUTINO,AVENIDA 4 MZ. 8 LT. 8,RENOVACION,IZTAPALAPA,Particular,"AVENIDA 4 MZ. 8 LT. 8, RENOVACION, IZTAPALAPA",19.3698884,-99.0490349,"19.3698884,-99.0490349"
2792,Preescolar,INSTITUTO PEDAGOGICO IBEROAMERICANO,MATUTINO,CAMPESINOS NO. 134,GRANJAS ESMERALDA,IZTAPALAPA,Particular,"CAMPESINOS NO. 134, GRANJAS ESMERALDA, IZTAPALAPA",19.3537417,-99.1181302,"19.3537417,-99.1181302"
2793,Preescolar,COLEGIO LUZ BRINGAS PREESCOLAR,MATUTINO,ESTRELLA NO. 1,SAN JUAN XALPA,IZTAPALAPA,Particular,"ESTRELLA NO. 1, SAN JUAN XALPA, IZTAPALAPA",19.336373,-99.0798867,"19.336373,-99.0798867"
2794,Preescolar,CERVANTES,MATUTINO,AV. TLAHUAC NO. 3431,CULHUACAN,IZTAPALAPA,Particular,"AV. TLAHUAC NO. 3431, CULHUACAN, IZTAPALAPA",19.3434145,-99.1081134,"19.3434145,-99.1081134"
2795,Preescolar,CASTILLO DEL SABER,MATUTINO,AV. 4 PTE. MZ. 51 LT. 15 Y 16,RENOVACION,IZTAPALAPA,Particular,"AV. 4 PTE. MZ. 51 LT. 15 Y 16, RENOVACION, IZTAPALAPA",19.3675925,-99.0509832,"19.3675925,-99.0509832"
2796,Preescolar,ENRIQUE REBSAMEN,MATUTINO,JOSE J. REYNOSO NO. 135,CONSTITUCION 1917,IZTAPALAPA,Particular,"JOSE J. REYNOSO NO. 135, CONSTITUCION 1917, IZTAPALAPA",19.3496782,-99.0609132,"19.3496782,-99.0609132"
