id,nombre_del_pilar,alcaldia,nombre_y_o_ubicacion_del_inmueble,estatus_de_conectividad,fecha_de_inauguracion,numero_de_ap_internas,numero_de_ap_externas,latitud,longitud,geopoint
139,ERMITA,Iztapalapa,"CDC La Ermita, Calz. Ignacio Zaragoza S/N, entre Andrés Quintanaroo y Loyula Ecatepec, Col. Unidad Habitacional Ermita Iztapalapa",CONECTADO,PRÓXIMA,2,0,19.364176,-99.002297,"19.364176,-99.002297"
140,VALLE DE LUCES,Iztapalapa,"Centro Comunitario Valle de Luces, Valle Del Paraíso 18, Valle De Luces",CONECTADO,PRÓXIMA,4,2,19.338014,-99.098174,"19.338014,-99.098174"
141,FORD,Iztapalapa,DIF LA FORD (750 m2) un nivel,CONECTADO,PENDIENTE,4,1,19.343803,-99.030843,"19.343803,-99.030843"
142,HUAYATLA,Magdalena Contreras,"Casa del Adulto Mayor, Magdalena Contreras Huayatla No. 13 esquina Guadalupe, Col.Pueblo Nuevo Alto",CONECTADO,16/3/2019,3,0,19.305281,-99.248611,"19.305281,-99.248611"
143,PENSIL,Miguel Hidalgo,"Faro del Saber  Morelos, Calle Lago Transimeno, entre lago Wetter y lago Erner",CONECTADO,17/1/2020,4,1,19.448865,-99.194416,"19.448865,-99.194416"
144,XALTIPAC,Milpa Alta,"Gimnasio Pepe El Toro , 5 DE MAYO S/N, COLONIA XALTIPAC (SOLO CIBERESCUELA)",CONECTADO,PRÓXIMA,1,0,19.2172528,-98.9890694,"19.2172528,-98.9890694"
145,MURCIELAGO,Tláhuac,"CALLE Murcielago Lt3, Esq. Deodato, Col. Agricola Metropilitana (201.48 m2)",CONECTADO,PRÓXIMA,1,1,19.291631,-99.049286,"19.291631,-99.049286"
146,MIGUEL HIDALGO,Tláhuac,"Centro Cibernético Miguel Hidalgo y Plaza Cívica, calle la Gioconda Lt. 1, Col. Miguel Hidalgo",CONECTADO,15/11/2019,2,0,19.292795,-99.046098,"19.292795,-99.046098"
147,COCODRILO,Tláhuac,"Escuela de básquetbol, calle cocodrilo 67, col. Los olivos, (OBRA DEMLICIÓN Y OBRA NUEVA)",CONECTADO,PRÓXIMA,10,1,19.30193,-99.059548,"19.30193,-99.059548"
148,CUCHILLA DE PADIERNA,Tlalpan,"La Cuchilla, Kinchil Mza. 13 Lte.6, Col. Cuchilla Padierna",CONECTADO,PRÓXIMA,3,0,19.276072,-99.216792,"19.276072,-99.216792"
