Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S002818;06/02/2020;18:15;PASEO. CASTELLANA / CALL. LOPEZ DE HOYOS;-;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;02
2020S002810;06/02/2020;17:30;AVDA. MAYORAZGO / CALL. CINCOVILLAS;-;VILLA DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;06
2020S002809;06/02/2020;15:08;PASEO. ALAMEDA DE OSUNA / CALL. JARDINES DE ARANJUEZ;-;HORTALEZA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;02
2020S002809;06/02/2020;15:08;PASEO. ALAMEDA DE OSUNA / CALL. JARDINES DE ARANJUEZ;-;HORTALEZA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 45 A 49 AÑOS;Hombre;14
2020S002851;06/02/2020;9:15;CALL. ESTEFANITA;22;VILLAVERDE;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2020S003033;08/02/2020;13:15;AVDA. LOS ROSALES / PQUE. LINEAL DEL MANZANARES;-;VILLAVERDE;Caída;Nublado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;01
2020S003108;08/02/2020;11:50;AVDA. FRANCISCO JAVIER SAENZ DE OIZA;216;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02
2020S003081;09/02/2020;21:10;PASEO SAN FRANCISCO DE SALES CON JULIAN ROMEA;-;CHAMBERÍ;Colisión frontal;Lluvia débil;Bicicleta;Conductor;DE 21 A 24 AÑOS;Mujer;07
2020S003019;09/02/2020;3:40;CALL. SAN BERNARDO;62;CENTRO;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 40 A 44 AÑOS;Hombre;07
2020S003019;09/02/2020;3:40;CALL. SAN BERNARDO;62;CENTRO;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Peatón;DE 21 A 24 AÑOS;Mujer;05
2020S003264;11/02/2020;23:56;CALL. JOSE ORTEGA Y GASSET / CALL. MONTESA;-;SALAMANCA;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 50 A 54 AÑOS;Hombre;07
